2026 Rank,Previous Rank,Institution Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
1201,0,"ahmadu bello university, zaria",Nigeria,Africa,XL,CO,HI,,6.0,701,9.0,701,10.0,801,2.0,801,2.0,801,1.0,801,6.0,801,44.0,801,81.0,154,28.0,801,0.0
1001,1001,"aligarh muslim university (amu), aligarh",India,Asia,L,CO,VH,Public,15.0,701,5.0,701,18.0,801,25.0,645,0.0,0,2.0,801,6.0,801,65.0,622,3.0,801,46.0,801,0.0
1001,1001,"arab academy for science, technology and maritime transport",Egypt,Africa,L,FO,VH,Public,8.0,701,12.0,701,45.0,441,2.0,801,9.0,801,35.0,542,34.0,569,27.0,801,17.0,789,30.0,801,0.0
388,408,"birkbeck college, university of london",United Kingdom,Europe,M,CO,VH,Public,16.0,701,6.0,701,19.0,801,80.0,159,99.0,130,99.0,78,99.0,66,60.0,690,18.0,766,46.0,801,39.0
1401,0,"christ (deemed to be university), bengaluru",India,Asia,XL,CO,HI,Private not for Profit,7.0,701,6.0,701,8.0,801,5.0,801,5.0,801,2.0,801,7.0,801,34.0,801,6.0,801,33.0,801,0.0
310,0,"city st george’s, university of london",United Kingdom,Europe,L,FO,VH,,27.0,466,32.0,444,9.0,801,58.0,301,92.0,207,98.0,90,98.0,77,77.0,402,66.0,238,62.0,452,45.0
711,681,"goldsmiths, university of london",United Kingdom,Europe,M,FO,VH,Public,18.0,668,8.0,701,21.0,801,17.0,765,89.0,230,98.0,93,98.0,82,23.0,801,25.0,637,43.0,801,0.0
761,0,"government college university, faisalabad",Pakistan,Asia,L,CO,VH,Public,4.0,701,7.0,701,8.0,801,72.0,197,1.0,801,1.0,801,6.0,801,78.0,392,34.0,503,32.0,801,0.0
1401,0,"independent university,bangladesh",Bangladesh,Asia,M,CO,HI,Private not for Profit,9.0,701,17.0,701,3.0,801,7.0,801,1.0,801,1.0,801,6.0,801,12.0,801,12.0,801,25.0,801,0.0
1401,1201,"jamia hamdard, new delhi",India,Asia,M,FO,VH,Public,6.0,701,3.0,701,14.0,801,26.0,629,0.0,0,4.0,801,8.0,801,14.0,801,2.0,801,14.0,801,0.0
761,851,"jamia millia islamia, new delhi",India,Asia,M,CO,VH,Public,13.0,701,6.0,701,40.0,500,48.0,394,4.0,801,11.0,801,15.0,801,61.0,683,6.0,801,50.0,708,0.0
660,601,"kingston university, london",United Kingdom,Europe,L,CO,HI,Public,21.0,598,25.0,547,7.0,801,13.0,801,77.0,309,96.0,115,96.0,98,52.0,801,16.0,801,50.0,715,27.0
638,0,"lincoln university college, malaysia",Malaysia,Asia,S,CO,HI,Private for Profit,11.0,701,26.0,521,96.0,69,2.0,801,100.0,75,100.0,26,99.0,55,5.0,801,5.0,801,13.0,801,27.0
701,711,"lingnan university, hong kong","Hong Kong SAR, China",Asia,S,CO,VH,Public,16.0,701,13.0,701,19.0,801,22.0,681,100.0,38,100.0,55,93.0,126,11.0,801,5.0,801,47.0,789,0.0
12,15,"nanyang technological university, singapore (ntu singapore)",Singapore,Asia,L,FC,VH,Public,97.0,42,91.0,67,84.0,148,95.0,76,100.0,43,93.0,145,94.0,121,87.0,217,88.0,121,87.0,88,94.0
440,410,"national research university higher school of economics (hse, moscow)",Russian Federation,Europe,XL,CO,VH,Public,28.0,449,53.0,231,92.0,96,3.0,801,10.0,801,24.0,675,30.0,614,85.0,261,19.0,737,58.0,549,35.0
1001,1001,"national technical university ""kharkiv polytechnic institute""",Ukraine,Europe,M,CO,VH,Public,8.0,701,21.0,633,61.0,294,2.0,801,2.0,801,33.0,555,35.0,553,17.0,801,5.0,801,39.0,801,0.0
